Id 	Name 	User Story	How to demo 	Importance (10,20..) 	Check di conferma
31	Inserimento certificazioni 	Come allevatore, voglio inserire nel sistema le certificazioni già in mio possesso affinché venga maggiormente dichiarata la qualità del prodotto.	Effettuare il login come "allevatore", accedere alla dashboard aziendale e cliccare sulla tab "Certificazioni" e poi sul pulsante "Aggiungi Certificazione". Il sistema apre un modulo di inserimento che richiede le informazioni necessarie (es. Ente Certificatore, Data di Scadenza, Caricamento File, ecc.). Provare a salvare una certificazione inserendo una data di scadenza passata. Il sistema blocca il salvataggio mostrando un messaggio di errore. Inserire una data di scadenza valida e cliccare su "Salva e Pubblica". Successivamente, creare o aprire la scheda prodotto di un lotto. Nella schermata di configurazione della scheda prodotto, il sistema applica automaticamente il badge della certificazione inserita (es. il logo "Biologico", "OGM free", "DOP"). Simulare l'accesso alla scheda del prodotto tramite QR Code da parte di un consumatore. Nella sezione dedicata ai riconoscimenti della filiera, il consumatore visualizza i loghi ufficiali delle certificazioni aziendali.	580	TRUE
32	Raccolta documenti per ottenimento certificazione 	Come allevatore, voglio poter inserire la documentazione relativa all'ottenimento di certificazioni affinché ne venga assistita la richiesta.	Effettuare il login come "allevatore", andare nella sezione "Certificazioni" e cliccare su "Nuova Richiesta Certificazione". Il sistema permette di selezionare l'obiettivo da un catalogo (es. "Richiesta Marchio DOP" o "Certificazione Biologica"). Una volta selezionata, il sistema crea una nuova pratica e mostra una checklist dei documenti obbligatori richiesti dall'ente. Dopo aver completato tutti i punti della checklist, cliccare sul pulsante "Invia all'Ente Certificatore". Fintanto che un documento obbligatorio manca, il tentato invio causerà un messaggio di errore. In caso contrario, la pratica viene inviata e viene generata una notifica di ricezione. Viene mostrato un messaggio di successo: "Documentazione inviata con successo". Accedere alla scheda dedicata alle pratiche iniziate/inviate. L'azienda visualizza un riepilogo visivo delle richieste in corso con i relativi stati (In Compilazione, In Valutazione, Approvata, Rifiutata), consentendo di gestire i rinnovi e le nuove domande in modo centralizzato.	590	TRUE
33	Integrità e tracciabilità dati 	Implementare sistemi di protezione dalla sovrascrittura per garantire l'integrità e tracciabilità dei record. 	Effettuare il login come allevatore e aprire lo storico dei lotti. Selezionare un lotto con filiera già completata: i campi come quantità prodotta e data di mungitura risultano in sola lettura e non modificabili dalla GUI. Tentare poi una modifica forzata tramite API sullo stesso lotto: il backend rifiuta la richiesta e restituisce un messaggio di errore che indica che il lotto non è più modificabile. Successivamente selezionare un record non ancora congelato e modificarlo: il sistema salva una nuova versione del record senza sovrascrivere quella precedente, così da mantenere la tracciabilità. Infine provare a eliminare un lotto o una visita sanitaria: il record scompare dalla vista utente, ma resta presente nel database come cancellazione logica (soft delete).	110	TRUE
34	Visita la mucca 	Come consumatore autenticato, voglio poter fissare un appuntamento per una visita presso l'allevatore, affichè possa conoscere la loro realtà.	Effettuare il login come "Consumatore", navigare nella pagina dell'azienda e cliccare sul pulsante "Prenota una Visita in Stalla". Il sistema apre un calendario interattivo che mostra le date disponibili pubblicate dall'azienda, gli orari delle visite guidati, i posti ancora disponibili per ogni fascia oraria. Selezionare una data/ora valida, inserire il numero di partecipanti (es. 2 adulti e 1 bambino) e cliccare su "Conferma Prenotazione". Il sistema valida che il numero di partecipanti non superi i posti ancora disponibili per quella fascia oraria. Registra la prenotazione in stato "In attesa", mostrando un messaggio di successo: "Richiesta inviata! Riceverai una notifica non appena l'allevatore confermerà la tua visita". Effettuare il login come "Azienda", andare nella sezione "Gestione Eventi e Visite" e visualizzare le richieste in entrata. L'allevatore visualizza la richiesta del consumatore. Ha a disposizione due pulsanti: "Accetta" e "Rifiuta". Cliccando su "Accetta", lo stato della prenotazione passa a "Confermata" e i posti disponibili nel calendario per quella data si aggiornano automaticamente. Tornare nell'area riservata del Consumatore (o controllare la sua email/notifiche in-app). Il consumatore riceve la notifica: "La tua visita presso 'Società Agricola Verde' è stata confermata!". Nella sezione "Le mie Visite" compare il riepilogo della prenotazione.	330	TRUE
35	Badge 	Come consumatore autenticato, voglio poter ricevere un badge fedeltà affinché certifichi la mia impronta locale.  	Effettuare il login come "Consumatore" e scansionare il QR Code del quinto prodotto nell'arco di un mese. Il sistema registra l'acquisto e aggiorna il contatore dei prodotti locali nel profilo dell'utente. Al superamento della soglia (es. 5 scansioni di aziende locali), scatta il trigger di sblocco del badge. Compare un pop-up a schermo: "Complimenti! Hai sbloccato il Badge: Eroe del Km 0 🏅". Navigare nella sezione "Il mio Profilo" e visualizzare la sezione "I miei Badge". Il consumatore vede al suo interno il nuovo badge colorato e attivo, mentre quelli non ancora sbloccati appaiono in grigio. Cliccare sul badge sbloccato e selezionare "Condividi". Il sistema genera un'immagine riassuntiva o un link pubblico (es. per i social) che attesta l'impegno del consumatore.	340	TRUE
36	Setup repository & workflow	Definizione della struttura della repository e delle convenzioni di branch, così da lavorare in modo ordinato e consistente.	Accedere alla piattaforma di hosting del codice (es. GitHub, GitLab) e mostrare il ramo principale (main) della repository. Il sistema mostra una struttura di cartelle chiara, modulare e standardizzata: Design/ (D1 e D2) app/ (risorse e route) config/ (file di configurazione) node-modules/ (dipendenze npm installate) server/ (file .env) static/ (frontend) tests/ .gitignore README.md (manuale d'istruzioni per installazione e configurazione locale)	10	TRUE
37	Configurazione variabili d’ambiente e segreti	Separazione tra logica applicativa, parametri di configurazione e segreti (credenziali), differenziando i contesti di Sviluppo (Dev) e Test.	Aprire la radice della repository Git ed esaminare il file .gitignore. Il file comprende al suo interno i file contenenti variabili d'ambiente locali e segreti: .env .env.example Questo garantisce che nessun programmatore possa accidentalmente caricare le password del database su GitHub.  Esaminare un file sorgente in cui l'applicazione si connette al database o a un servizio esterno. Nel codice non sono presenti stringhe in chiaro (hardcoded) come password o chiavi private. L'applicazione richiama le variabili d'ambiente fornite dal sistema operativo o dal file .env.	20	TRUE
38	Setup DB locale	Configurare il database in locale con dati seed, senza inserimenti manuali.	Aprire il terminale nella cartella del progetto ed eseguire il comando di inizializzazione. (es. npm run db:reset). Il sistema si collega all'istanza locale del database. Se esistono vecchie tabelle, le elimina per pulire l'ambiente. Crea da zero tutte le tabelle previste dal modello dati (es. Utente, Animale, LottoProduzione, EventoSanitario) applicando i vincoli di integrità e le chiavi esterne. Eseguire il comando di seeding (es. npm run db:seed). l sistema legge i file di configurazione dei dati seed (es. seed.json o script) e inserisce nel database un set di dati coerenti, diversificati tra loro e pronti all'uso. Aprire il client del database o accedere alla dashboard dell'applicazione ed effettuare una ricerca. La tabella degli animali non è vuota: è presente la/e mucca/e inserita nei test sopra presentati con il suo ID. La tabella utenti contiene gli account di prova già configurati con password cifrate (es. allevatore@test.com con password Password123!), permettendo agli sviluppatori di fare subito il login senza registrarsi. Lanciare il comando npm run db:seed una seconda volta di seguito, senza resettare il database. Il sistema gestisce correttamente l’idempotenza dello script di seeding: non crea record duplicati, non genera errori e, se previsto, aggiorna i dati esistenti oppure ignora quelli già presenti.	210	TRUE
39	Logging e gestione errori base	Definizione di un sistema di gestione standard di errori/log, così da diagnosticare problemi e migliorare la stabilità.	Inviare una richiesta di creazione di un lotto inserendo un ID azienda inesistente o simulare un'interruzione di connessione con il database. L'applicazione non va in crash. Il server risponde al client con un codice di stato HTTP corretto (es. 500 Internal Server Error o 400 Bad Request). Payload di risposta pulito: L'utente riceve un messaggio chiaro e sicuro, senza dettagli tecnici del codice. Aprire la console del server o il file di log (es. storage/logs/combined.log) generato dopo l'errore del punto precedente. Il sistema ha registrato l'evento utilizzando un formato strutturato (es. JSON) che include metadati fondamentali per il debug, quali Livello di log: ERROR (altri livelli: INFO, WARN, DEBUG), Timestamp: Data e ora esatta dell'evento in formato ISO (es. 2026-05-03T15:25:07Z), Messaggio di errore contenente descrizione del problema (es. "Database connection timed out") e l'utente o la risorsa coinvolta (es. userId: 42, route: /api/lotti). Esaminare lo stesso log dell'errore nell'ambiente di Sviluppo (Dev). Oltre ai metadati base, il log include lo Stack Trace completo (il percorso esatto del codice, riga per riga, che ha generato l'errore), consentendo allo sviluppatore di identificare immediatamente il bug. In ambiente di produzione, lo stack trace viene invece omesso per motivi di sicurezza. Effettuare una normale operazione andata a buon fine, come il login di un utente o l'acquisizione di un dato IoT. Il sistema registra l'evento con livello INFO per tracciare il corretto funzionamento dell'applicazione, es: [2026-05-03 15:25:07] INFO: Utente allevatore@test.com autenticato con successo. IP: 192.168.1.5	130	TRUE
40	integrazione Google Maps	Implementazione dell’integrazione con Google Maps, le sue API.	Effettuare il login come "consumatore" e accedere alla sezione dedicata alla mappa, che viene caricata e centrata sulla posizione dell'utente (se abilitata) oppure su un'area predefinita (es. Nord Italia). L'interfaccia è fluida e permette le classiche gesture di Google Maps (Zoom In/Out, Pan, cambio vista Mappa/Satellite). Osservare i segnaposto (Marker) presenti sulla mappa. Il sistema interroga il database e posiziona un Marker per ogni azienda registrata, utilizzando le coordinate risultanti dall'indirizzo salvato nel profilo dell'azienda. Cliccare sul Marker di un'azienda specifica. Si apre un fumetto informativo (InfoWindow) sopra il Marker che mostra nome dell'allevamento, comune e provincia, un pulsante o link: "Visualizza Dettagli". Cliccando su di esso, l'utente viene reindirizzato alla pagina profilo dell'azienda, dove può consultare varie informazioni come certificazioni, capi di bestiame e lotti prodotti. Utilizzare la barra di ricerca o i filtri della mappa (es. cercare "Trento" o filtrare per "Solo Allevamenti Bio"). La mappa aggiorna istantaneamente i Marker visibili, mostrando solo quelli che corrispondono ai criteri di ricerca dell'utente.	230	TRUE
41	Studio: integrazione Google Maps	Scouting sull’integrazione API di Google Maps e sulle modalità di visualizzazione geografica per stimare la complessità di integrazione, valutare i costi e permettere ai consumatori di localizzare visivamente gli allevamenti della filiera.	Avviare il prototipo software che carica una mappa centrata sull'area di interesse e mostra dei segnaposto (Marker). La mappa si carica correttamente utilizzando una chiave API (API Key) valida e protetta. Vengono visualizzati uno o più Marker che rappresentano la posizione esatta degli allevamenti di test (es. coordinate di una stalla reale). Cliccando su un Marker, si apre una finestra informativa (InfoWindow) che mostra il nome dell'azienda e un link cliccable: "Visualizza Dettagli". Definizione dei punti chiave per la fase di sviluppo quali caching delle coordinate, risultanti dall'inserimento dell'indirizzo dell'azienda in fase di registrazione, e stima dell'effort per l'implementazione.	220	TRUE
42	Implementazione QR code scanning	Implementazione librerie/API per abilitare la scansione QR.	Aprire la piattaforma come consumatore ospite o autenticato e cliccare sul pulsante "Scansiona QR Code". Se è il primo utilizzo, l'app mostra il pop-up per richiedere il permesso di utilizzo della fotocamera. Una volta concesso il permesso, si apre la schermata della fotocamera con un mirino (overlay) per centrare il codice. Inquadrare un QR code stampato o mostrato a schermo che contiene il link di un lotto specifico. L'app riconosce istantaneamente il codice senza bisogno di scattare una foto. Viene emesso un feedback visivo (es. un breve lampeggio verde o una spunta) o sonoro per indicare l'avvenuta lettura. Attendere la decodifica del codice. L'app estrae l'ID del lotto (2026-B12) ed effettua automaticamente una chiamata API al sistema. L'utente viene reindirizzato alla pagina di dettaglio del lotto, dove può consultare l'allevamento di provenienza, la mucca che ha prodotto la materia prima, i dati dei sensori IoT relativi alla salute dell'animale in quel periodo. La quantità di dati disponibili varia in base al profilo utente utilizzato (ospite o autenticato). Per la gestione Fallback e Errori, negare il permesso della fotocamera quando richiesto dall'app. L'app mostra un messaggio informativo (es. "L'accesso alla fotocamera è necessario per scansionare il QR") e offre un pulsante per inserire manualmente il codice numerico del lotto. Scansionare poi un QR code non valido o non associato ad alcun lotto del sistema: l'app mostra un messaggio di errore.	370	TRUE
43	Studio QR code scanning (Android)	Scouting sull’integrazione librerie/API per scansione QR, così da stimare complessità e limiti della funzionalità.	Accedere alla piattaforma come consumatore ospite o autenticato e cliccare sul pulsante "Scansiona QR Code",  permettendo l'uso della fotocamera se richiesto, e inquadrare un QR code di prova contenente un URL. Una volta inquadrato il QR code, l'app estrae la stringa di testo dal QR code e la rende visibile allo sviluppatore per dimostrare l'avvenuta decodifica. Definire i seguenti punti chiave per lo sviluppo futuro: - Gestione dei permessi: Necessità di gestire i casi in cui l'utente nega l'accesso alla fotocamera (fallback con inserimento manuale del codice del lotto); - Condizioni di luce: alcuni sistemi rispondono bene anche con scarsa luminosità, migliorando l'esperienza degli utenti; - Stima dell'effort necessario all'implementazione.	380	TRUE
44	Studio: sicurezza base (auth, ruoli)	Studiare i requisiti minimi di sicurezza per evitare accessi non autorizzati.	Eseguire un piccolo prototipo di codice o mostrare la configurazione del sistema di sicurezza scelto (es. uso di token JWT per le sessioni e hashing delle password con bcrypt). Dimostrare che una password di test viene memorizzata nel database solo sotto forma di hash non invertibile. Dimostrare che il sistema genera un token cifrato (es. JWT) al momento del login, il quale scade automaticamente dopo un tempo prestabilito (es. 24 ore). 	30	TRUE
45	Modifica dati azienda	Come allevatore, voglio modificare le informazioni relative alla mia allevatore, affinchè tutti i dati siano aggiornati nel mio sistema. 	Effettuare il login come "allevatore", andare nella barra degli strumenti, seleziona "la tua azienda", "visualizza la tua azienda". Appare la lista delle aziende e da qui si può modificare tramite il tasto "modifica"o contentente l'icona della matita, l'azienda selezionata.  I campi informativi dell'allevamento (es. Ragione Sociale, Indirizzo della stalla, Numero di telefono, Certificazioni) diventano editabili. Modificare un'informazione (es. aggiornare l'indirizzo email di contatto o aggiungere una nuova certificazione di qualità) e cliccare sul pulsante "Salva Modifiche". Il sistema valida i dati, chiude la modalità di editing e mostra un messaggio di successo (es. "Informazioni dell'allevamento aggiornate con successo"). Ricarica la pagina e i dati modificati in precedenza rimangono salvati e visualizzati correttamente a schermo, confermando che la modifica è stata registrata stabilmente nel database.	200	TRUE
46	Elimina dati azienda	Come allevatore, voglio eliminare le informazioni relative al mio allevamento, affinchè tutti i dati siano aggiornati nel mio sistema. 	Effettuare il login come "allevatore", andare nella barra degli strumenti, seleziona "la tua azienda", "visualizza la tua azienda". Appare la lista delle aziende e da qui si può eliminare tramite il tasto "elimina" la azienda selezionata. Il sistema non procede immediatamente, ma mostra un avviso critico (es. "Attenzione: questa azione cancellerà definitivamente l'allevamento, tutti gli animali registrati, i dispositivi IoT associati e lo storico delle misurazioni. Questa azione è irreversibile"). Per confermare l'azione, inserire nuovamente la propria password aziendale (o digitare la parola "ELIMINA") e cliccare su "Conferma Eliminazione". Il sistema avvia il processo di cancellazione, rimuove l'azienda e mostra un messaggio di conferma (es. "I dati del tuo allevamento sono stati rimossi con successo dal sistema"). Nel database l'azienda verrà flaggata come obsoleta, ma resterà comunque presente nel DB.  Tentare di effettuare nuovamente il login con le vecchie credenziali dell'azienda appena eliminata. Il sistema nega l'accesso (es. "Credenziali non valide" o "Account inesistente"), confermando che l'azienda è stata rimossa a tutti gli effetti.	160	TRUE
47	Visualizzare dati azienda	Come allevatore, voglio visualizzare le informazioni relative alla mia azienda, affinchè sia sempre al corrente di tutto ciò che succede al suo interno. 	Effettuare il login come "allevatore" e cliccare sulla barra degli strumenti "la mia azienda" e "visualizza la mia azienda": Il sistema mostra tutti i campi precedentemente salvati, relativi alle mie aziende. Controllare che i dati mostrati siano aggiornati, comprensibili e coerenti con lo stato attuale del sistema.	150	TRUE
48	Modifica dati mucca 	Come allevatore, voglio modifica le informazioni relative alle mucche, affinchè tutti i dati nel sistema rispecchino la corrente realtà delle cose. 	Effettuare il login come "allevatore", navigare nella sezione "la tua mandria", "visualizza la tua mandria" e cliccare sul pulsante "Modifica Dati" (o l'icona della matita). I campi informativi degli animali (es. Nome, specie, razza, ecc) diventano editabili. Modificare un'informazione e cliccare sul pulsante "Salva Modifiche". Il sistema valida i dati, chiude la modalità di editing e mostra un messaggio di successo (es. "Informazioni tuoi animali aggiornate con successo"). Ricarica la pagina e i dati modificati in precedenza rimangono salvati e visualizzati correttamente a schermo, confermando che la modifica è stata registrata stabilmente nel database.	210	TRUE
49	Visualizza dati mucca 	Come allevatore, voglio visualizzare le informazioni relative alle mucche, affinché io sia sempre al corrente delle loro condizioni.	Effettuare il login come "allevatore", navigare nella sezione "la tua mandria", "visualizza la tua mandria" . Viene mostrato l'elenco completo di tutte le mucche dell'azienda, con una riga riassuntiva per ciascuna. 	180	TRUE
50	Elimina dati mucca 	Come allevatore, voglio eliminare le informazioni relative alle mucche, affinchè solo i dati necessari siano nel mio sistema. 	Effettuare il login come "allevatore", navigare nella sezione "la tua mandria", "visualizza la tua mandria" . Viene mostrato l'elenco completo di tutte le mucche dell'azienda, con una riga riassuntiva per ciascuna. Selezionare una specifica mucca dell'elenco e cliccare sul tasto "Elimina". Appare un messaggio pop-up che richiede una conferma dell'operazione. Cliccare su "Conferma"; la mucca scompare immediatamente dalla lista visibile a schermo e il sistema mostra un messaggio di successo. Ricaricare la pagina del browser, oppure effettuare il logout e poi nuovamente il login. La mucca precedentemente rimossa non deve comparire nella lista.	190	TRUE
51	Rimozione Preferiti	Come consumatore autenticato, voglio rimuovere dai miei preferiti le aziende scelte, affinchè possa corregere la lista dei miei preferiti se l'allevatore non è più di mio interesse. 	Effettuare il login come "Consumatore", navigare nella propria area personale e cliccare sulla sezione "Le mie aziende preferite". Il sistema mostra l'elenco completo delle aziende precedentemente salvate, ciascuna con un'icona evidente di rimozione (es: cuore pieno o cestino). Cliccare sull'icona di rimozione accando al nome di un'azienda. Questa scompare immediatamente dalla lista visibile a schermo e il sistema mostra un messaggio di conferma es. "Azienda rimossa dai preferiti"). Ricaricare la pagina del browser, oppure effettuare il logout e poi nuovamente il login. L'azienda precedentemente rimossa non compare nell'elenco dei preferiti, confermando che la modifica è stata salvata correttamente nel database. Cercare l'azienda appena rimossa tramite barra di ricerca generale e aprire la sua pagina pubblica. Il pulsante dei preferiti su quella pagina deve essere tornato allo stato iniziale, permettendo all'utente l'evetuale reinserimento futuro.	430	TRUE
52	Accessibilità del servizio	Come utente, voglio poter accedere al sito o applicazione in qualsiasi momento, con downtime minimo/senza interruzioni dovute a guasti o manutenzioni affinché io possa accedere ai miei dati/ricerche passate in ogni momento. 	Dimostrare che il sistema rimane raggiungibile simulando lo spegnimento di un server mentre l'utente è connesso, caricando una modifica di codice mentre l'applicazione è in uso, simulando l'accesso simultaneo di un numero elevato di utenti, mostrando un report o una dashboard di monitoraggio.	520	TRUE
53	Integrabilità con dispositivi IoT	Come allevatore, voglio essere in grado di visualizzare i dati provenienti da sensori o dispositivi IoT collegati al sistema in near real-time affinché il sistema sia sempre aggiornato sui nuovi sviluppi all'interno dell'allevamento.	Simulare l'invio di un dato e verificare la validazione e restituzione di codice di successo dal sistema. Mostrare l'aggiornamento della dashboard senza refresh near real-time. Simulare l'invio di un dato anomalo notando l'evidenziazione di tale dato da parte del sistema.	280	TRUE
54	Intuitività dell'interfaccia utente	Come utente, voglio poter utilizzare l'applicativo in modo agevole e immediato per massimizzare la mia user experience.	Un utente che non ha mai visto l'app completa un'operazione richiesta in meno di tot click/tempo senza chiedere assistenza.  Eseguire un'azione e notare un feedback visivo immediato da parte del sistema Le informazioni più importanti sono evidenziate visivamente rispetto alle secondarie. Lasciare un campo obbligatorio vuoto e ricevere l'indicazione dal sistema del campo mancante.	400	TRUE
55	Backup e ripristino dei dati	Come utente, voglio che i dati relativi al mio profilo, eventuale azienda compresa, non vadano persi a causa di errori di sistema e che siano esportabili o recuperabili al fine di evitare perdite di tempo e risorse.	Verificare che il sistema preveda meccanismi di persistenza, backup, esportazione o recupero dei dati relativi al profilo utente e all’eventuale azienda associata. Simulare un errore o uno scenario di ripristino e controllare che i dati possano essere recuperati o esportati senza perdite rilevanti, così da ridurre l’impatto in termini di tempo e risorse.	40	TRUE
56	Selezione della lingua	Come utente, voglio poter scegliere la lingua nella quale visualizzare ciò che appare nel sito/applicazione, almeno tra italiano e inglese, per ampliare la potenziale utenza della piattaforma.	Cliccando il selettore di lingua e passando da una all'altra, tutti gli elementi dell'interfaccia devono essere adattati, anche formati esempio di date o numeri e i messaggi di errore. La scelta di lingua deve persistere anche in seguito a chiusura e riavvio del sistema. 	600	TRUE
57	Sicurezza e protezione dati	Come utente, voglio che i miei dati siano protetti da accessi non autorizzati e attacchi informatici, affinché la mia privacy sia garantita e il servizio rimanga sempre disponibile e affidabile.	Visualizzare nel database la tabella degli utenti e verificare che il campo password non la mostri in plain text. Effettuare il login come consumatore e tentare di accedere tramite URL a una pagina riservata alle aziende e ricevere sa sistema un errore di accesso negato. Mostrare nella barra degli indirizzi del browser l'icona del lucchetto (protocollo HTTPS) durante l'uso dell'applicativo. Lasciare l'applicazione aperta e inattiva per un periodo prolungato, il sistema richiede nuovamente il login per scaduta autenticazione.	60	TRUE
58	Gestione connessione intermittente	Come allevatore, voglio che i dati rilevati dai sensori vengano salvati localmente durante i periodi di assenza di rete, affinché non vadano perduti e vengano inviati automaticamente al database non appena la connessione torna disponibile.	Disconnettere la rete mentre il sensore sta inviando dati e il sistema si accorge e notifica la mancata connessione con un avviso di modalità offline. Mostrare che il dispositivo continua a generare misurazioni, salvate in una memoria temporanea. Il sistema rileva il ritorno di connessione e provvede all'automatico caricamento delle misurazioni nel database, dove devono apparire con l'orario corretto di generazione.	350	TRUE
59	Login tramite credenziali	Come utente, voglio poter accedere al mio account inserendo il mio nome utente e la mia password, così che il sistema possa identificarmi e permettermi di accedere in modo sicuro ai miei dati personali.	Inserire username e password esistenti nei campi di login e ottenere il reindirizzamento alla dashboard personale corrispondente. Inserire delle credenziali di accesso errate e ricevere negazione di accesso da parte del sistema, che mostra un messaggio di errore e rimane sulla pagina di login. Tentare di accedere alla propria area personale tramite URL senza aver effettuato il login; il sistema blocca l'accesso e reindirizza automaticamente l'utente alla pagina di login.	410	TRUE
60	Consultazione sezione benessere e curiosità	Come utente, voglio poter accedere a una sezione dedicata alla divulgazione scientifica e alle curiosità, affinché io possa imparare a riconoscere e interpretare il significato che hanno per la salute della vacca i dati rilevati dai sensori e apprendere altre nozioni sul benessere dell'animale.	Accedere all’applicazione come utente e navigare verso la sezione dedicata alla divulgazione scientifica e alle curiosità. Verificare che i contenuti siano disponibili, consultabili e organizzati in modo comprensibile, e che aiutino l’utente a interpretare i dati rilevati dai sensori e ad approfondire temi legati al benessere della vacca.	320	TRUE
61	Visualizzazione visite veterinario	Come veterinario, voglio poter visualizzare i dati relativi alle visite eseguite su ogni mucca affinché possa monitorare l'andamento della loro salute e di eventuali trattamenti/cure da me prescritte.	Effetturare il login come veterinario, accedere alla sezione dedicata alle mucche o alle visite veterinarie e selezionare un animale. Selezionare una visita contenuta nello storico: il sistema mostra tutti i dettagli registrati (data, diagnosi, parametri biomedici rilevati). Verificare la presenza e la correttezza dei dettagli sanitari per ogni mucca inserita, oltre ai trattamenti/medicinali prescritti.	570	TRUE
62	Visualizzazione recensioni distributore	Come distributore, voglio visualizzare alle recensioni dei consumatori sui lotti da me distribuiti, affinchè io possa gestire eventuali reclami e migliorare il mio servizio. 	Effettuare il login come "Distributore", accedere alla sezione dedicata ai lotti distribuiti e consultare le recensioni o i feedback associati. Cliccare su una recensione per visualizzarne il contenuto, verificando la presenza di tutti gli elementi (es. nome del cliente, voto, descrizione). Cliccare sul pulsante "Rispondi/Gestisci Reclamo" accanto ad essa, verificando che il sistema permetti di compilare, inviare e assegnare la risposta a quella determinata recensione.	540	TRUE
					
					
US forse da aggiungere					
63	Governance & Compliance (Audit) -  allevatore	Come Amministratore, voglio tracciare chi ha inserito i dati e quando, per fini di controllo			
64	Infrastruttura Dati (Concurrency & Consistency) - allevatore	Task tecnici per gestire accessi simultanei e garantire l'integrità dei database su larga scala.			
65	Collegamento a maggiori dettagli della riga (animale, ma vale lo stesso per l'azienda)	Cliccare su una specifica mucca dell'elenco. Il sistema apre la pagina dedicata alla mucca, mostrando chiaramente i dati anagrafici. (RIF us49)			
