Id 	Name 	User Story	How to demo 	Importance (10,20..) 	Definition of Done		Suggerimenti
26	Latenza massima 	Ottimizzare i tempi di risposta delle ricerche per garantire un output < 5 secondi.	Dalla pagina pubblica del sistema, inserire il codice di un lotto simulare la scansione del QR Code e cliccare su "Cerca". Il sistema interroga il database, unisce i dati della stalla, del veterinario e del distributore, e renderizza la scheda prodotto completa.Il tempo totale di caricamento della pagina (misurato nella tab Network del browser) è inferiore a 1.5 secondi, ampiamente al di sotto del limite di 5s. Effettuare il login come "Azienda", andare nella sezione "Gestione Mandria" e applicare contemporaneamente più filtri. Il sistema filtra istantaneamente centinaia di record di animali e aggiorna la tabella a schermo. Il tempo di esecuzione della query sul database e la risposta del server non superano i 2 secondi. Eseguire una ricerca globale nel registro storico dei lotti aziendali all'interno di un database popolato con decine di migliaia di record di test (simulazione di un archivio storico pluriennale). Grazie all'indicizzazione corretta delle chiavi di ricerca (es. codiceLotto, codiceASL) e all'uso della memoria cache, il sistema restituisce i risultati della paginazione in 3 secondi al massimo. Simulare un rallentamento della rete (es. impostando "Slow 3G" nei Developer Tools) ed effettuare una ricerca. Il sistema mostra immediatamente uno spinner di caricamento o uno skeleton screen per far capire all'utente che la richiesta è in elaborazione, prevenendo click ripetuti e migliorando la percezione del tempo di attesa.	510			
27	Compatibilità mobile 	Garantire la compatibilità cross-platform su dispositivi desktop e mobile Android.	Aprire l'applicazione da un PC Desktop tramite browser web. L'interfaccia sfrutta l'ampiezza dello schermo: il menu di navigazione è esteso nella barra laterale (sidebar), i grafici IoT mostrano i dettagli estesi e le tabelle dei lotti visualizzano tutte le colonne contemporaneamente. L'interazione avviene comodamente tramite mouse e tastiera. Aprire lo stesso URL dell'applicazione su uno smartphone Android oppure attivare la modalità "Mobile Emulation" nei Developer Tools del browser desktop selezionando un profilo Android. L'interfaccia si adatta istantaneamente senza ricaricare la pagina (Responsive Design), la sidebar scompare e viene sostituita da un menu "hamburger" (≡) o da una barra di navigazione inferiore (Bottom Bar), le tabelle complesse si trasformano in schede (Card) scorrevoli verticalmente, i pulsanti e i link si ingrandiscono per consentire un facile tocco con le dita (touch-friendly). al dispositivo mobile Android (come Consumatore), cliccare sul pulsante "Scansiona QR Code" presente nella Home. Il browser richiede l'autorizzazione per accedere alla fotocamera dello smartphone Android. Una volta accettata, si attiva il mirino della fotocamera in-app. Inquadrando il QR Code di un lotto di formaggio, il sistema decodifica il codice all'istante e apre la scheda prodotto corrispondente in meno di 5 secondi. Sempre da smartphone Android, l'allevatore seleziona una mucca e prova a inserire un evento sanitario o una nota al pascolo. I moduli di input sono ottimizzati per lo schermo verticale: la tastiera numerica nativa di Android si apre automaticamente quando si tocca un campo numerico. Il salvataggio avviene con successo e i dati vengono sincronizzati immediatamente nel database centrale.	360			
28	Sicurezza autenticazione 	Implementare il modulo di sicurezza con autenticazione, requisiti password e gestione dei livelli di autorizzazione. 	Nella pagina di registrazione, provare a creare un account inserendo una password debole. Il sistema blocca la registrazione e mostra i requisiti minimi di sicurezza richiesti. Provare ad accedere alla dashboard aziendale digitando direttamente l'URL nel browser senza aver prima effettuato il login. Il sistema intercetta la richiesta non autenticata. Impedisce la visualizzazione della pagina e reindirizza l'utente alla pagina di Login con un messaggio: "Accesso negato. Effettua il login per continuare". Effettuare il login con un account con ruolo Distributore e provare a forzare l'accesso alla pagina di inserimento dei dati sanitari degli animali. Il sistema riconosce l'utente come autenticato, ma verifica che il suo ruolo non ha i permessi necessari per quella risorsa. Viene mostrato un errore di autorizzazione (403 Forbidden): "Non disponi delle autorizzazioni necessarie per accedere a questa sezione". All'interno della dashboard, cliccare sul pulsante "Disconnetti" (Logout) e successivamente provare a cliccare sul pulsante "Indietro" del browser. La sessione dell'utente viene distrutta e il token di autenticazione (es. JWT) viene rimosso dal browser. Il pulsante "Indietro" non permette di rientrare nella dashboard, mostrando nuovamente la schermata di login.	100			
29	Trattamento dei dati GDPR 	Adeguare il trattamento dei dati sensibili degli animali alle normative sulla privacy vigenti (GDPR/Compliance).	Nella pagina di registrazione (es. come nuovo Allevatore o Veterinario), inserire i propri dati e provare a cliccare su "Registrati" senza spuntare la casella della Privacy Policy. Il sistema blocca la registrazione. Mostra un messaggio di avviso: "È necessario accettare l'Informativa sul trattamento dei dati personali (GDPR) per continuare". Viene fornito il link per consultare l'informativa estesa (art. 13 GDPR). Effettuare il login, andare nelle "Impostazioni Account" e cliccare su "Elimina definitivamente il mio account". Il sistema richiede una conferma esplicita per evitare cancellazioni accidentali. Una volta confermato, tutti i dati personali dell'utente (nome, cognome, email, password hash) vengono eliminati definitivamente dal database o resi completamente anonimi. I dati di tracciabilità della filiera rimangono memorizzati per motivi legali di sicurezza alimentare, ma vengono scollegati da qualsiasi riferimento alla persona fisica. Accedere alla scheda pubblica di un lotto di produzione come Consumatore, attraverso ricerca o attraverso scansione QR. Il sistema mostra i dati tecnici dell'allevamento (Ragione Sociale, Codice ASL). Vengono invece nascosti o mascherati i dati personali dell'allevatore proprietario, visualizzando solo i contatti commerciali ufficiali. Dalle impostazioni del profilo dell'azienda o del veterinario, cliccare su "Scarica i miei dati (Portabilità GDPR)". Il sistema genera istantaneamente un file in un formato strutturato, di uso comune e leggibile da dispositivo automatico (es. file JSON o CSV) contenente tutte le informazioni personali memorizzate su quell'utente (art. 20 GDPR).	120			
30	Scalabilità	Progettare un'architettura che garantisca la scalabilità del carico utenti e l'estendibilità a nuove specie animali.	Utilizzare uno strumento di test di carico (es. Apache JMeter o Locust) per simulare un alto numero di utenti simultanei che scansionano i QR Code e di pacchetti dati IoT inviati dai sensori nello stesso minuto. Il sistema non va in crash e la latenza delle risposte rimane <5 secondi. Le istanze del server backend aumentano automaticamente per distribuire il carico di lavoro (Load Balancing). Le richieste in eccesso per i dati IoT vengono temporaneamente parcheggiate in una cosa di messaggi per essere elaborate senza rallentare il database principale. Accedere al pannello di amministrazione avanzato e aggiungere una nuova specie nel dizionario di sistema: "Capra Saanen". Il sistema permette di creare la nuova specie definendone i parametri specifici per i fattori di qualità (es. grasso ottimale latte di capra:: 3.5%, proteine: 3.1%). Non è necessario ricompilare l'applicazione o interrompere il servizio (Zero Downtime). Effettuare il login come "Azienda", andare nella sezione "Gestione Mandria" e cliccare su "Aggiungi Capo". Nel menu a tendina della specie compare ora la voce "Capra Saanen". Selezionandola, il modulo di inserimento si adatta dinamicamente mostrando solo i parametri sanitari e produttivi pertinenti a quella specie (es. rimuovendo parametri esclusivi dei bovini). Creare un lotto di produzione specificando come materia prima il "Latte di Capra". Il sistema genera correttamente la scheda prodotto applicando le regole di calcolo della qualità specifiche per il latte caprino, dimostrando la completa estendibilità del sistema.	1000			
31	Inserimento certificazioni 	Come azienda, voglio inserire nel sistema le certificazioni già in mio possesso affinché venga maggiormente dichiarata la qualità del prodotto.	Effettuare il login come "Azienda", navigare nella sezione "Profilo Aziendale", cliccare sulla tab "Certificazioni" e poi sul pulsante "Aggiungi Certificazione". Il sistema apre un modulo di inserimento che richiede Tipo di Certificazione, Ente Certificatore, Numero di Documento/Licenza, Data di Scadenza, Caricamento File. Provare a salvare una certificazione inserendo una data di scadenza passata. Il sistema blocca il salvataggio evidenziando l'errore: "Impossibile inserire una certificazione già scaduta. Verifica la validità del documento". Inserire una data di scadenza valida e cliccare su "Salva e Pubblica". Successivamente, creare o aprire una scheda prodotto del lotto corrente. Il sistema accetta il documento e lo contrassegna come "Attivo". Nella schermata di configurazione della scheda prodotto, il sistema applica automaticamente il badge della certificazione (es. il logo "Biologico", "OGM free", "DOP") poiché l'azienda ne è legalmente in possesso. Simulare l'accesso alla scheda del prodotto tramite QR Code da parte di un consumatore. Nella sezione dedicata ai riconoscimenti della filiera, il consumatore visualizza i loghi ufficiali delle certificazioni aziendali. Cliccando su uno di essi, si apre un pop-up che mostra i dettagli, es: "Questo prodotto è certificato Biologico dall'ente CSQA Certificazioni. Validità del certificato: fino al 31/12/2026."	580			
32	Raccolta documenti per ottenimento certificazione 	Come azienda, voglio poter inserire la documentazione relativa all'ottenimento di certificazioni affinché ne venga assistita la richiesta.	Effettuare il login come "Azienda", andare nella sezione "Richieste Certificazioni" e cliccare su "Nuova Richiesta Certificazione". Il sistema permette di selezionare l'obiettivo da un catalogo (es. "Richiesta Marchio DOP" o "Certificazione Biologica"). Una volta selezionata, il sistema crea una nuova pratica in stato "In Compilazione" e mostra una checklist dei documenti obbligatori richiesti dall'ente. Nella pagina della pratica appena creata, cliccare su "Carica Documento" in corrispondenza delle voci della checklist: - Analisi del terreno e dell'acqua -> Caricare il PDF - Registro storico dei trattamenti sanitari -> Il sistema offre un pulsante per esportare e allegare automaticamente i dati già presenti nel modulo "Registro Dati Sanitari". Il sistema aggiorna lo stato della checklist: la voce passa da "Mancante" a "Caricato", mostrando il nome del file e la data di caricamento. Dopo aver completato tutti i punti della checklist, cliccare sul pulsante "Invia all'Ente Certificatore". Il sistema effettua un controllo di completezza: se un documento obbligatorio manca, il pulsante di invio rimane disabilitato. Se tutto è corretto, la pratica viene congelata, lo stato passa a "Inviata / In Valutazione" e viene generata una notifica di ricezione. Viene mostrato un messaggio di successo: "Documentazione inviata con successo all'Ente Certificatore. Riceverai un aggiornamento entro 30 giorni". (??) Accedere alla tab "Le mie Pratiche" nella dashboard aziendale. L'azienda visualizza un riepilogo visivo delle richieste in corso con i relativi stati (In Compilazione, In Valutazione, Approvata, Rifiutata), consentendo di gestire i rinnovi e le nuove domande in modo centralizzato e senza faldoni cartacei.	590			
33	Integrità e tracciabilità dati 	Implementare sistemi di protezione dalla sovrascrittura per garantire l'integrità e tracciabilità dei record. 	Effettuare il login come "Azienda", andare nello storico dei lotti e selezionare un lotto che ha già completato la filiera ed è stato contrassegnato come "Spedito". Provare a modificare la quantità prodotta o la data di mungitura. Il sistema disabilita i campi di input nella GUI (i campi appaiono in sola lettura). Se l'utente forza la modifica inviando una richiesta diretta via API, il backend la intercetta, la blocca e restituisce l'errore: "Operazione non consentita: i dati di questo lotto sono congelati e non modificabili". Nel caso in cui l'allevatore debba correggere un errore materiale su un record non ancora congelato, cliccare su "Rettifica Dato". Il sistema non sovrascrive il vecchio record nel database, ma: - Archivia il record precedente assegnandogli lo stato "Sostituito". - Crea una nuova versione del record (es. Versione 2). - Mantiene entrambi i record consultabili dagli auditor per ragioni di trasparenza. Accedere al pannello "Registro Attività / Audit Log" come Amministratore di sistema o Ispettore di qualità. Il sistema mostra un report cronologico immutabile di tutte le azioni avvenute sul lotto. Ogni riga del log evidenzia Timestamp preciso dell'operazione, Attore, Tipo di operazione, Dato precedente vs Dato nuovo (il delta della modifica). Provare a eliminare un lotto di produzione o una visita sanitaria dal sistema. Il sistema non esegue mai una cancellazione fisica (DELETE) dal database. Applica invece una cancellazione logica (Soft Delete): il record viene nascosto alla vista normale degli utenti, ma rimane memorizzato nel database a fini legali e di tracciabilità.	110			
34	Visita la mucca 	Come consumatore autenticato, voglio poter fissare un appuntamento per una visita presso l'azienda, affichè possa conoscere la loro realtà.	Effettuare il login come "Consumatore", navigare nella pagina dell'azienda e cliccare sul pulsante "Prenota una Visita in Stalla". Il sistema apre un calendario interattivo che mostra le date disponibili pubblicate dall'azienda, gli orari delle visite guidati, i posti ancora disponibili per ogni fascia oraria. Selezionare una data/ora valida, inserire il numero di partecipanti (es. 2 adulti e 1 bambino) e cliccare su "Conferma Prenotazione". Il sistema valida che il numero di partecipanti non superi i posti ancora disponibili per quella fascia oraria. Registra la prenotazione in stato "In attesa di conferma" (o "Confermata automaticamente" a seconda delle impostazioni aziendali). Mostra un messaggio di successo: "Richiesta inviata! Riceverai una notifica non appena l'allevatore confermerà la tua visita". Effettuare il login come "Azienda", andare nella sezione "Gestione Eventi e Visite" e visualizzare le richieste in entrata. L'allevatore visualizza la richiesta del consumatore. Ha a disposizione due pulsanti: "Accetta" e "Rifiuta". Cliccando su "Accetta", lo stato della prenotazione passa a "Confermata" e i posti disponibili nel calendario per quella data si aggiornano automaticamente. Tornare nell'area riservata del Consumatore (o controllare la sua email/notifiche in-app). Il consumatore riceve la notifica: "La tua visita presso 'Società Agricola Verde' è stata confermata!". Nella sezione "Le mie Visite" compare il riepilogo della prenotazione con un QR Code del biglietto, che l'allevatore potrà scansionare all'arrivo del consumatore in azienda come "pass" d'ingresso.	330			
35	Badge 	Come consumatore autenticato, voglio poter ricevere un badge fedeltà affinché certifichi la mia impronta locale.  	Effettuare il login come "Consumatore" e scansionare il QR Code del quinto lotto di latte/formaggio nell'arco di un mese. Il sistema registra l'acquisto e aggiorna il contatore dei prodotti locali nel profilo dell'utente. Al superamento della soglia (es. 5 scansioni di aziende locali), scatta il trigger di sblocco del badge. Compare un pop-up di celebrazione a schermo: "Complimenti! Hai sbloccato il Badge: Eroe del Km 0 🏅". (tipo cosi??) Navigare nella sezione "Il mio Profilo" e cliccare su "I miei Badge". Il consumatore visualizza la sua bacheca dei badge, dove il nuovo badge è ora colorato e attivo, mentre quelli non ancora sbloccati appaiono in grigio ("In corso"):Badge Attivo: Eroe del Km 0 (Ottenuto il 03/05/2026).Descrizione: "Hai acquistato 5 prodotti da aziende situate entro 50 km da te, riducendo l'impronta di CO2". Cliccare sul badge "Eroe del Km 0" e selezionare "Condividi". Il sistema genera un'immagine riassuntiva o un link pubblico (es. per i social) che attesta l'impegno del consumatore. Scorrere la pagina dei badge fino alla sezione "Le mie statistiche". Il sistema mostra un contatore dinamico dei chilometri risparmiati grazie agli acquisti a filiera corta e il numero totale di aziende locali supportate, trasformando i badge in un certificato visivo dell'impatto positivo dell'utente.	340			
36	Setup repository & workflow	Definizione della struttura della repository, delle convenzioni di branch e dei template PR, così da lavorare in modo ordinato e consistente.	Accedere alla piattaforma di hosting del codice (es. GitHub, GitLab) e mostrare il ramo principale (main) della repository. Il sistema mostra una struttura di cartelle chiara, modulare e standardizzata: .github/ (contiene i template di PR, Issue e le configurazioni di CI/CD).  docs/ (diagrammi Papyrus, documentazione tecnica, specifiche requisiti). src/ (codice sorgente diviso per microservizi: iot-service, auth-service, ecc.). tests/ (test unitari, d'integrazione e di carico). README.md (manuale d'istruzioni per installazione e configurazione locale).  Aprire il Aprire il terminale e simulare la creazione di un nuovo branch per lo sviluppo di una funzionalità (es. inserimento dati IoT). Il nome del branch segue rigorosamente le convenzioni stabilite: Sintassi: <tipo>/<id-ticket>-<breve-descrizione> Esempio: git checkout -b feat/US-104-ingestion-iot I rami per i bugfix useranno il prefisso fix/ (es. fix/US-104-error-parsing) e quelli di manutenzione chore/ o refactor/.  Effettuare un commit sul branch creato, fare il push sul server e cliccare su "New Pull Request" verso il branch develop o main. Il form della Pull Request si autocompila istantaneamente sfruttando il file pull_request_template.md presente nella cartella .github/. Il template impone all'allevatore/sviluppatore di compilare le seguenti sezioni: Descrizione (Quale user story /requisito risolve questa pr? Breve riassunto delle modifiche apportate), Test effettuati (Test unitari superati localmente, Rest d'integrazione APi eseguiti), Checklist di Controllo (Il codice seque le linee guida del progetto, La documentazione è stata aggiornata, Non ci sono conflitti con il branch di destinazione.  Provare a fare un push diretto (git push origin main) sul branch main come utente sviluppatore. Il server Git rifiuta il push diretto mostrando un errore: "Pushing directly to 'main' is not allowed. Please open a Pull Request and request a review.". Questo dimostra che il codice può entrare in produzione solo dopo l'approvazione di almeno un altro membro del team (Peer Review) e il superamento dei test automatici della pipeline.  ??? Tipo cosi ???	10	Al termine avremo:  repo pronta CI attiva struttura progetto condivisa		
37	Configurazione variabili d’ambiente e segreti	Separazione tra logica applicativa, parametri di configurazione e segreti (credenziali), differenziando i contesti di Sviluppo (Dev) e Test.	Aprire la radice della repository Git ed esaminare il file .gitignore. Il file contiene istruzioni esplicite per ignorare i file contenenti variabili d'ambiente locali e segreti: .env .env.local .env.dev .env.test Questo garantisce che nessun programmatore possa accidentalmente caricare le password del database su GitHub.  Avviare il sistema in modalità Sviluppo e successivamente in modalità Test, osservando i log di avvio. Il sistema legge il file di configurazione corretto in base alla variabile di ambiente iniziale (NODE_ENV o APP_ENV): - In Sviluppo (APP_ENV=dev): Il sistema si collega a un database locale (es. localhost:5432/stalla_dev), i log sono molto dettagliati (debug) e non sono attive restrizioni severe sui CORS. - In Test (APP_ENV=test): Il sistema si collega a un database in memoria o dedicato ai test automatici (es. test_db), ripulendolo prima di ogni esecuzione per garantire l'isolamento dei dati.  Esaminare un file sorgente in cui l'applicazione si connette al database o a un servizio esterno. Nel codice non sono presenti stringhe in chiaro (hardcoded) come password o chiavi private. L'applicazione richiama le variabili d'ambiente fornite dal sistema operativo o dal file .env.  Provare ad avviare l'applicazione eliminando una variabile d'ambiente critica (es. rimuovendo la chiave di cifratura dei token di autenticazione JWT_SECRET). L'applicazione si arresta immediatamente all'avvio (Fail-Fast) mostrando un errore esplicito nei log: "ERRORE DI CONFIGURAZIONE: La variabile d'ambiente 'JWT_SECRET' è obbligatoria. Avvio interrotto.". Questo impedisce al sistema di andare in esecuzione in uno stato non sicuro o mal configurato.	20	 Alla fine della user story avremo: .env.example segreti non esposti documentazione setup ambiente		
38	Setup DB locale	Configurare il database in locale con dati seed, senza inserimenti manuali.	Aprire il terminale nella cartella del progetto ed eseguire il comando di inizializzazione. (es. npm run db:reset). Il sistema si collega all'istanza locale del database. Se esistono vecchie tabelle, le elimina per pulire l'ambiente. Crea da zero tutte le tabelle previste dal modello dati (es. Utente, Animale, LottoProduzione, EventoSanitario) applicando i vincoli di integrità e le chiavi esterne. Eseguire il comando di seeding (es. npm run db:seed). l sistema legge i file di configurazione dei dati seed (es. seed.json o script JavaScript/Python) e inserisce nel database un set di dati coerenti e pronti all'uso: - 2 Aziende Agricole di test con relativi profili. - 10 Animali (vacche) con tag ID e parametri vitali fittizi già associati. - 1 Veterinario e 1 Distributore con credenziali di test preconfigurate. - 5 Lotti di produzione in vari stati della filiera. Aprire il client del database (es. pgAdmin, DBeaver) o accedere alla dashboard dell'applicazione ed effettuare una ricerca.La tabella degli animali non è vuota: è presente la mucca inserita nei test sopra presentati con il suo ID. La tabella utenti contiene gli account di prova già configurati con password cifrate (es. allevatore@test.com con password Password123!), permettendo agli sviluppatori di fare subito il login senza registrarsi. Lanciare il comando npm run db:seed una seconda volta di seguito, senza resettare il database. Lo script gestisce l'idempotenza (es. usando clausole UPSERT o controlli sui duplicati): non crea record duplicati e non va in errore, ma aggiorna i dati esistenti o ignora l'inserimento se i record sono già presenti.	210			
39	Logging e gestione errori base	Definizione di un sistema di gestione standard di errori/log, così da diagnosticare problemi e migliorare la stabilità.	Inviare una richiesta di creazione di un lotto inserendo un ID azienda inesistente o simulare un'interruzione di connessione con il database. L'applicazione non va in crash. Il server risponde al client con un codice di stato HTTP corretto (es. 500 Internal Server Error o 400 Bad Request). Payload di risposta pulito: L'utente riceve un messaggio chiaro e sicuro, senza dettagli tecnici del codice. Aprire la console del server o il file di log (es. storage/logs/combined.log) generato dopo l'errore del punto precedente. Il sistema ha registrato l'evento utilizzando un formato strutturato (es. JSON o testo standardizzato) che include metadati fondamentali per il debug, quali Livello di log: ERROR (altri livelli: INFO, WARN, DEBUG), Timestamp: Data e ora esatta dell'evento in formato ISO (es. 2026-05-03T15:25:07Z), Messaggio dell'errore: Una descrizione del problema (es. "Database connection timed out"), Contesto: L'utente o la risorsa coinvolta (es. userId: 42, route: /api/lotti). Esaminare lo stesso log dell'errore nell'ambiente di Sviluppo (Dev). Oltre ai metadati base, il log include lo Stack Trace completo (il percorso esatto del codice, riga per riga, che ha generato l'errore), consentendo allo sviluppatore di identificare immediatamente il bug. In ambiente di produzione, lo stack trace viene invece omesso per motivi di sicurezza. Effettuare una normale operazione andata a buon fine, come il login di un utente o l'acquisizione di un dato IoT. Il sistema registra l'evento con livello INFO per tracciare il corretto funzionamento dell'applicazione, es: [2026-05-03 15:25:07] INFO: Utente allevatore@test.com autenticato con successo. IP: 192.168.1.5	130			
40	integrazione Google Maps	Implementazione dell’integrazione con Google Maps, le sue API.	Aprire l'applicazione (Web o Mobile) come consumatore e cliccare sulla sezione "Esplora Mappa Allevamenti". La mappa di Google Maps si carica correttamente centrata sulla posizione dell'utente (se i permessi di geolocalizzazione sono attivi) oppure su un'area predefinita (es. Nord Italia). L'interfaccia è fluida e permette le classiche gesture di Google Maps (Zoom In/Out, Pan, cambio vista Mappa/Satellite). Osservare i segnaposto (Marker) presenti sulla mappa. Il sistema interroga il database e posiziona un Marker per ogni azienda registrata, utilizzando le coordinate (latitudine, longitudine) salvate nel profilo dell'allevamento. I Marker possono avere colori personalizzati (es. verde per gli allevamenti biologici certificati). Cliccare sul Marker di un'azienda specifica. Si apre un fumetto informativo (InfoWindow) sopra il Marker che mostra nome dell'allevamento, comune e provincia, un pulsante o link: "Visualizza Dettagli". Cliccando sul link, l'utente viene reindirizzato alla pagina profilo dell'azienda, dove può consultare le certificazioni, i capi di bestiame e i lotti prodotti. Utilizzare la barra di ricerca o i filtri della mappa (es. cercare "Verona" o filtrare per "Solo Allevamenti Bio"). La mappa aggiorna istantaneamente i Marker visibili, mostrando solo quelli che corrispondono ai criteri di ricerca dell'utente.	230			
41	Studio: integrazione Google Maps	Scouting sull’integrazione API di Google Maps e sulle modalità di visualizzazione geografica per stimare la complessità di integrazione, valutare i costi e permettere ai consumatori di localizzare visivamente gli allevamenti della filiera.	Mostrare la documentazione tecnica e la valutazione delle API di Google Maps necessarie per il progetto. Giustificare l'architettura scelta per la visualizzazione. Avviare il prototipo software (Web o Android) che carica una mappa centrata sull'area di interesse e mostra dei segnaposto (Marker). La mappa si carica correttamente utilizzando una chiave API (API Key) valida e protetta. Vengono visualizzati uno o più Marker che rappresentano la posizione esatta degli allevamenti di test (es. coordinate di una stalla reale). Cliccando su un Marker, si apre una finestra informativa (InfoWindow) che mostra il nome dell'azienda e un link cliccable: "Vai ai dettagli dell'allevamento". Presentare le conclusioni tecniche e i requisiti per l'implementazione finale. Ossia definizione dei seguenti punti chiave per la fase di sviluppo: - Caching delle coordinate: Per non sovraccaricare le chiamate API (e contenere i costi), la classe Azienda nel database dovrà avere due attributi dedicati: latitudine: Double e longitudine: Double, calcolati una sola volta in fase di registrazione dell'allevamento. - Privacy: Valutare se mostrare la posizione esatta della stalla o un'area approssimativa (es. centro del comune) per motivi di sicurezza aziendale. - Stima del Task: L'integrazione completa della mappa per il consumatore viene stimata in 3 Story Points (complessità bassa grazie alla maturità dell'SDK di Google).	220			
42	Implementazione QR code scanning	Implementazione librerie/API per abilitare la scansione QR.	Aprire la piattaforma come consumatore ospite o autenticato e cliccare sul pulsante "Scansiona QR Code". Se è il primo utilizzo, l'app mostra il pop-up nativo di Android per richiedere il permesso della fotocamera (Camera Permission). Una volta concesso il permesso, si apre la schermata della fotocamera con un mirino (overlay) per centrare il codice. Inquadrare un QR code stampato o mostrato a schermo che contiene il link di un lotto specifico. L'app riconosce istantaneamente il codice senza bisogno di scattare una foto. Viene emesso un feedback visivo (es. un breve lampeggio verde o una spunta) o sonoro per indicare l'avvenuta lettura. Attendere la decodifica del codice. L'app estrae l'ID del lotto (2026-B12) ed effettua automaticamente una chiamata API al sistema. L'utente viene reindirizzato in meno di 2 secondi alla pagina di dettaglio del lotto, dove può consultare l'allevamento di provenienza, la mucca che ha prodotto la materia prima, i dati dei sensori IoT relativi alla salute dell'animale in quel periodo. Per la gestione Fallback e Errori, negare il permesso della fotocamera quando richiesto dall'app. L'app mostra un messaggio informativo (es. "L'accesso alla fotocamera è necessario per scansionare il QR") e offre un pulsante per inserire manualmente il codice numerico del lotto. Scansionare poi un QR code non valido o non associato ad alcun lotto del sistema. Risultato atteso 2: L'app mostra un messaggio di errore chiaro: "Codice non riconosciuto. Il prodotto non appartiene alla nostra filiera certificata".	370			
43	Studio QR code scanning (Android)	Scouting sull’integrazione librerie/API per scansione QR, così da stimare complessità e limiti della funzionalità.	Mostrare la matrice di valutazione delle librerie candidate. Giustificare la scelta della libreria ottimale per il progetto. Avviare l'applicazione prototipo su un dispositivo Android di test (o emulatore con fotocamera abilitata) e inquadrare un QR code di prova contenente un URL. L'app richiede correttamente i permessi della fotocamera al primo avvio. Una volta inquadrato il QR code, la scansione avviene istantaneamente (entro 1 secondo). L'app estrae la stringa di testo dal QR code e la stampa a schermo in un campo di testo per dimostrare l'avvenuta decodifica. Presentare i limiti tecnici identificati durante lo studio e l'impatto sul backlog.  Definizione dei seguenti punti chiave per lo sviluppo futuro: - Gestione dei permessi: Necessità di gestire i casi in cui l'utente nega l'accesso alla fotocamera (fallback con inserimento manuale del codice del lotto). - Condizioni di luce: ML Kit risponde bene anche con scarsa luminosità, riducendo i problemi per il consumatore al supermercato. - Stima del Task: L'integrazione della funzionalità nella User Story finale del Consumatore viene stimata in 3-5 Story Points (complessità medio-bassa grazie alle API native).	380			
44	Studio: sicurezza base (auth, ruoli)	Studiare i requisiti minimi di sicurezza per evitare accessi non autorizzati.	Mostrare la documentazione o la tabella dei ruoli progettata durante lo studio. Deve essere chiaramente definita una Matrice di Accesso che stabilisce cosa può fare ogni singolo attore del sistema. Eseguire un piccolo prototipo di codice o mostrare la configurazione del sistema di sicurezza scelto (es. uso di token JWT per le sessioni e hashing delle password con bcrypt). Dimostrare che una password di test viene memorizzata nel database solo sotto forma di hash non invertibile. Dimostrare che il sistema genera un token cifrato (es. JWT) al momento del login, il quale scade automaticamente dopo un tempo prestabilito (es. 24 ore). Mostrare il Diagramma delle Classi aggiornato con i meccanismi di sicurezza studiati. Il diagramma deve includere gli attributi di sicurezza nella classe Utente (es. username: String, passwordHash: String, ruolo: EnumerationRuoli) e il vincolo che impedisce a un utente di eseguire operazioni non permesse dal proprio ruolo (es. espresso tramite vincoli OCL).	30	al termine della user story avremo definito e documentato i ruoli e le relative autorizzazioni. 		
45	Modifica dati allevamento	Come azienda, voglio modificare le informazioni relative al mio allevamento, affinchè tutti i dati siano aggiornati nel mio sistema. 	Effettuare il login come "Azienda", navigare nella sezione "Profilo Allevamento" e cliccare sul pulsante "Modifica Dati" (o l'icona della matita). I campi informativi dell'allevamento (es. Ragione Sociale, Indirizzo della stalla, Numero di telefono, Certificazioni) diventano editabili. Modificare un'informazione (es. aggiornare l'indirizzo email di contatto o aggiungere una nuova certificazione di qualità) e cliccare sul pulsante "Salva Modifiche". Il sistema valida i dati, chiude la modalità di editing e mostra un messaggio di successo (es. "Informazioni dell'allevamento aggiornate con successo"). Effettuare il logout dal sistema e poi nuovamente il login, oppure ricaricare la pagina. I dati modificati in precedenza rimangono salvati e visualizzati correttamente a schermo, confermando che la modifica è stata registrata stabilmente nel database. Accedere alla pagina pubblica dell'allevamento o scansionare il QR code di un lotto distribuito da quell'azienda. Le informazioni aggiornate (es. il nuovo indirizzo o la nuova certificazione) sono visibili anche ai consumatori finali, garantendo la trasparenza della filiera.	200			
